hs_code,hs_label,year,partner_code,partner,value_usd,net_weight_kg,is_aggregate
940330,Wooden furniture — office,2023,32,Argentina,114739.0,23175.693,False
940330,Wooden furniture — office,2023,70,Bosnia Herzegovina,63328.0,12791.381,False
940330,Wooden furniture — office,2023,422,Lebanon,59261.0,11969.904,False
940330,Wooden furniture — office,2023,428,Latvia,348966.0,70486.313,False
940330,Wooden furniture — office,2023,440,Lithuania,11387735.0,2300165.202,False
940330,Wooden furniture — office,2023,804,Ukraine,114305.0,23088.031,False
940330,Wooden furniture — office,2023,818,Egypt,21071.0,4256.051,False
940330,Wooden furniture — office,2023,882,Samoa,43178.0,8721.36,False
940330,Wooden furniture — office,2023,688,Serbia,34800.0,7029.119,False
940330,Wooden furniture — office,2023,690,Seychelles,430.0,86.854,False
940330,Wooden furniture — office,2023,504,Morocco,21640.0,4370.981,False
940330,Wooden furniture — office,2023,516,Namibia,7611.0,1537.317,False
940330,Wooden furniture — office,2023,524,Nepal,10959.0,2213.567,False
940330,Wooden furniture — office,2023,586,Pakistan,10313.0,2083.084,False
940330,Wooden furniture — office,2023,604,Peru,54875.0,11083.992,False
940330,Wooden furniture — office,2023,608,Philippines,301015.0,60800.873,False
940330,Wooden furniture — office,2023,620,Portugal,1155936.0,233483.108,False
940330,Wooden furniture — office,2023,372,Ireland,68803.0,13897.256,False
940330,Wooden furniture — office,2023,348,Hungary,426735.0,86194.577,False
940330,Wooden furniture — office,2023,344,"China, Hong Kong SAR",638001.0,128867.391,False
940330,Wooden furniture — office,2023,360,Indonesia,2733921.0,552214.286,False
940330,Wooden furniture — office,2023,702,Singapore,14291.0,2886.585,False
940330,Wooden furniture — office,2023,246,Finland,16416156.0,3315836.8,False
940330,Wooden furniture — office,2023,56,Belgium,1281822.0,258910.342,False
940330,Wooden furniture — office,2023,36,Australia,478212.0,96592.22,False
940330,Wooden furniture — office,2023,208,Denmark,3030439.0,612106.827,False
940330,Wooden furniture — office,2023,458,Malaysia,40474234.0,8175236.306,False
940330,Wooden furniture — office,2023,203,Czechia,377605.0,76270.995,False
940330,Wooden furniture — office,2023,76,Brazil,2354702.0,475617.285,False
940330,Wooden furniture — office,2023,752,Sweden,1900400.0,383854.555,False
940330,Wooden furniture — office,2023,792,Türkiye,2414696.0,487735.244,False
940330,Wooden furniture — office,2023,764,Thailand,8401762.0,1697039.893,False
940330,Wooden furniture — office,2023,616,Poland,2743892.0,554228.29,False
940330,Wooden furniture — office,2023,757,Switzerland,3668754.0,741037.641,False
940330,Wooden furniture — office,2023,704,Viet Nam,58247146.0,11765119.08,False
940330,Wooden furniture — office,2023,40,Austria,373094.0,75359.835,False
940330,Wooden furniture — office,2023,724,Spain,1343588.0,271386.221,False
940330,Wooden furniture — office,2023,699,India,3687369.0,744797.614,False
940330,Wooden furniture — office,2023,528,Netherlands,941229.0,190115.259,False
940330,Wooden furniture — office,2023,410,Rep. of Korea,2281265.0,460784.025,False
940330,Wooden furniture — office,2023,490,"Other Asia, nes",4598342.0,928801.579,False
940330,Wooden furniture — office,2023,251,France,2380280.0,480783.688,False
940330,Wooden furniture — office,2023,484,Mexico,53968952.0,10900982.976,False
940330,Wooden furniture — office,2023,392,Japan,399025.0,80597.539,False
940330,Wooden furniture — office,2023,826,United Kingdom,9301478.0,1878770.1,False
940330,Wooden furniture — office,2023,380,Italy,17306430.0,3495659.853,False
940330,Wooden furniture — office,2023,124,Canada,393429294.0,79467284.004,False
940330,Wooden furniture — office,2023,276,Germany,11614543.0,2345977.285,False
940330,Wooden furniture — office,2023,156,China,168344477.0,34003259.463,False
940330,Wooden furniture — office,2023,214,Dominican Rep.,3098.0,625.753,False
940330,Wooden furniture — office,2023,144,Sri Lanka,2002.0,404.376,False
940330,Wooden furniture — office,2023,44,Bahamas,5201.0,1050.53,False
940330,Wooden furniture — office,2023,191,Croatia,2060.0,416.092,False
940330,Wooden furniture — office,2023,694,Sierra Leone,524.0,105.841,False
940330,Wooden furniture — office,2023,470,Malta,1377.0,278.135,False
940330,Wooden furniture — office,2023,784,United Arab Emirates,4730.0,955.395,False
940330,Wooden furniture — office,2023,120,Cameroon,329.0,66.453,False
940330,Wooden furniture — office,2023,162,Christmas Isds,2900.0,585.76,False
940330,Wooden furniture — office,2023,178,Congo,1836.0,370.847,False
940330,Wooden furniture — office,2023,8,Albania,2627.0,530.618,False
940330,Wooden furniture — office,2023,442,Luxembourg,751.0,151.692,False
